FILENAME,FILE_SIZE,DE_ENCRYPTION_TIME,ENCRYPTION_TIME,SIGN_TIME,DE_DECRYPTION_TIME,DECRYPTION_TIME,VERIFY_TIME,DH_ALGORITHM,CIPHER_ALGORITHM
650.txt,1048575,1,49,24,1,24,15,ECCDH,AES[128]
916.txt,1048575,1,3,7,1,7,7,ECCDH,AES[128]
276.txt,1048575,1,2,7,1,7,7,ECCDH,AES[128]
1483.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1122.txt,1048575,1,2,7,1,7,7,ECCDH,AES[128]
1061.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1297.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
219.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
1067.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
760.txt,1048575,1,2,6,1,7,7,ECCDH,AES[128]
532.txt,1048575,1,2,9,1,7,6,ECCDH,AES[128]
151.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
391.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
126.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1082.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
434.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
603.txt,1048575,1,11,20,1,11,8,ECCDH,AES[128]
1282.txt,1048575,1,3,6,1,8,6,ECCDH,AES[128]
612.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
521.txt,1048575,1,3,6,1,8,6,ECCDH,AES[128]
610.txt,1048575,1,3,6,1,8,6,ECCDH,AES[128]
1286.txt,1048575,1,9,6,1,7,6,ECCDH,AES[128]
129.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
983.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
577.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1030.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1249.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1440.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
882.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1448.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
614.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
817.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
996.txt,1048575,1,11,26,1,13,8,ECCDH,AES[128]
1410.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1158.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
810.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
727.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
849.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
416.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1301.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
18.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1450.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1328.txt,1048575,1,3,6,1,7,5,ECCDH,AES[128]
953.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
165.txt,1048575,1,3,6,1,8,6,ECCDH,AES[128]
1381.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1480.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1191.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1155.txt,1048575,1,13,17,1,12,7,ECCDH,AES[128]
out,87,1,1,0,1,0,0,ECCDH,AES[128]
1361.txt,1048575,1,3,6,1,8,6,ECCDH,AES[128]
133.txt,1048575,1,3,6,1,8,6,ECCDH,AES[128]
1218.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
85.txt,1048575,1,3,6,1,24,6,ECCDH,AES[128]
57.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
562.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
118.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
33.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
578.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
675.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
630.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
1382.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1252.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
945.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1076.txt,1048575,1,10,19,1,11,8,ECCDH,AES[128]
774.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1242.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
1139.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
202.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1266.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1041.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
999.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
244.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1257.txt,1048575,1,2,6,1,7,5,ECCDH,AES[128]
442.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
194.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
409.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
905.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
886.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
897.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
72.txt,1048575,1,11,21,1,12,8,ECCDH,AES[128]
487.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
936.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
1027.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
117.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
596.txt,1048575,1,60,7,1,7,6,ECCDH,AES[128]
1127.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
e4ddac17bcf1.txt,60,1,1,0,1,0,0,ECCDH,AES[128]
305.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
713.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
203.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
743.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
946.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
547.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
266.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1473.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
755.txt,1048575,1,10,17,1,11,7,ECCDH,AES[128]
1024.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
459.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
435.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1009.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
3888bf903bdc.txt,31457277,1,67,174,1,214,173,ECCDH,AES[128]
769.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1494.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
325.txt,1048575,1,3,6,1,8,6,ECCDH,AES[128]
cdbf80543764.txt,0,1,0,1,1,0,0,ECCDH,AES[128]
248.txt,1048575,1,3,6,1,8,6,ECCDH,AES[128]
104.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1298.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
726.txt,1048575,1,3,6,1,8,6,ECCDH,AES[128]
326.txt,1048575,1,2,7,1,8,6,ECCDH,AES[128]
04.txt,4194302,1,29,24,1,29,23,ECCDH,AES[128]
520.txt,1048575,1,10,19,1,11,7,ECCDH,AES[128]
296.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
737.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
567.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
710.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1360.txt,1048575,1,2,6,1,8,6,ECCDH,AES[128]
1461.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
1160.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
552.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
592.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
944.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
503.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
618.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
931.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
632.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
611.txt,1048575,1,3,6,1,7,6,ECCDH,AES[128]
188.txt,1048575,1,2,7,1,7,6,ECCDH,AES[128]
65.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
994.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
1074.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
291.txt,1048575,1,2,6,1,7,6,ECCDH,AES[128]
177.txt,1048575,1,2,6,1,7,7,ECCDH,AES[128]
